M,Only host,Only host + svm,svm + gpu,only gpu
1,0.052734,1.861328,1.205078,0.529297
2,0.001953,1.398438,1.138672,0.345703
3,0.003906,0.849609,0.835938,0.335938
4,0.003906,0.900391,0.953125,0.460938
5,0.003906,0.943359,0.781250,0.343750
6,0.005859,0.699219,0.738281,0.349609
7,0.005859,0.738281,0.871094,0.376953
8,0.003906,0.761719,0.841797,0.369141
9,0.007813,0.816406,0.798828,0.355469
10,0.007813,0.757813,0.771484,0.347656
11,0.015625,0.712891,0.732422,0.347656
12,0.009766,0.722656,0.855469,0.363281
13,0.013672,0.855469,0.720703,0.347656
14,0.015625,0.679688,0.740234,0.349609
15,0.017578,0.742188,0.773438,0.349609
16,0.021484,0.683594,0.789063,0.363281
17,0.027344,0.726563,0.927734,0.373047
18,0.029297,0.773438,0.744141,0.353516
19,0.033203,0.677734,0.751953,0.355469
20,0.039063,0.710938,0.779297,0.375000
21,0.041016,0.724609,0.732422,0.359375
22,0.046875,0.720703,0.783203,0.380859
23,0.054688,0.744141,0.722656,0.359375
24,0.056641,0.697266,0.777344,0.363281
25,0.066406,0.876953,0.929688,0.376953
26,0.072266,0.748047,0.755859,0.365234
27,0.080078,0.734375,0.765625,0.375000
28,0.087891,0.837891,0.787109,0.367188
29,0.111328,0.732422,0.824219,0.392578
30,0.121094,0.787109,0.826172,0.378906
31,0.111328,0.750000,0.769531,0.384766
32,0.134766,0.773438,0.767578,0.978516
33,0.136719,0.939453,0.867188,0.394531
34,0.142578,0.833984,0.773438,0.394531
35,0.154297,0.816406,0.833984,0.398438
36,0.166016,1.001953,1.105469,0.406250
37,0.183594,0.835938,0.837891,0.404297
38,0.197266,0.873047,0.796875,0.402344
39,0.216797,0.896484,0.826172,0.427734
40,0.226563,0.916016,0.820313,0.408203
41,0.242188,0.919922,0.773438,0.412109
42,0.255859,0.966797,0.794922,0.417969
43,0.289063,0.951172,0.796875,0.423828
44,0.310547,0.962891,0.769531,0.435547
45,0.310547,1.416016,0.945313,0.542969
46,0.337891,0.990234,0.863281,0.414063
47,0.355469,0.984375,0.980469,0.414063
48,0.376953,1.158203,1.021484,0.484375
49,0.482422,1.556641,0.775391,0.441406
50,0.433594,1.095703,0.988281,0.447266
51,0.445313,1.203125,0.845703,0.439453
52,0.476563,1.201172,0.773438,0.441406
53,0.541016,1.154297,0.851563,0.447266
54,0.509766,1.162109,0.769531,0.455078
55,0.582031,1.167969,0.787109,0.496094
56,0.623047,1.291016,0.908203,0.468750
57,0.599609,1.212891,0.855469,0.458984
58,0.623047,1.267578,0.796875,0.503906
59,0.660156,1.394531,0.759766,0.439453
60,0.691406,1.375000,0.785156,0.587891
61,0.759766,1.443359,0.837891,0.468750
62,0.759766,1.406250,0.802734,0.472656
63,0.810547,1.423828,0.814453,0.480469
64,0.857422,1.525391,0.787109,0.435547
65,0.882813,1.904297,0.898438,0.480469
66,0.958984,1.890625,1.486328,0.527344
67,1.017578,1.744141,0.902344,0.498047
68,1.046875,1.728516,0.890625,0.492188
69,1.101563,1.804688,0.863281,0.498047
70,1.140625,1.755859,0.878906,0.535156
71,1.132813,1.818359,0.871094,0.503906
72,1.160156,2.123047,0.996094,0.478516
73,1.259766,2.138672,1.005859,0.542969
74,1.294922,2.175781,1.205078,0.544922
75,1.343750,2.537109,0.900391,0.525391
76,1.443359,2.148438,0.951172,0.556641
77,1.501953,2.265625,0.902344,0.564453
78,1.568359,2.404297,1.021484,0.554688
79,1.621094,2.363281,0.931641,0.533203
80,1.656250,2.378906,0.978516,0.544922
81,1.863281,3.236328,1.349609,0.720703
82,1.816406,2.585938,0.951172,0.570313
83,1.966797,2.740234,1.017578,0.566406
84,1.927734,2.695313,1.058594,0.576172
85,1.910156,2.789063,1.298828,0.658203
86,2.214844,2.892578,1.093750,0.587891
87,2.009766,2.880859,1.208984,0.576172
88,2.292969,3.117188,1.171875,0.531250
89,2.138672,2.966797,1.302734,0.613281
90,2.201172,3.324219,1.066406,0.560547
91,2.292969,2.939453,1.244141,0.578125
92,2.296875,3.681641,1.140625,0.566406
93,2.457031,3.244141,1.167969,0.587891
94,2.457031,3.695313,1.263672,0.667969
95,2.533203,3.570313,1.199219,0.679688
96,2.660156,3.625000,1.109375,0.607422
97,2.693359,3.783203,1.070313,0.587891
98,3.814453,4.052734,1.464844,0.800781
99,3.406250,4.425781,1.677734,0.638672
100,2.992188,4.808594,1.275391,0.644531
101,3.431641,4.103516,1.226563,0.615234
102,3.414063,4.042969,1.203125,0.632813
103,3.427734,4.255859,1.193359,0.648438
104,3.408203,4.183594,1.033203,0.621094
105,3.544922,4.335938,1.046875,0.630859
106,3.656250,4.757813,1.277344,0.658203
107,3.753906,4.466797,1.275391,0.669922
108,3.818359,4.580078,0.978516,0.621094
109,3.970703,4.974609,1.001953,0.642578
110,4.056641,5.173828,1.341797,0.710938
111,4.230469,5.445313,1.371094,0.646484
112,4.283203,5.421875,1.357422,0.628906
113,4.398438,5.546875,1.498047,0.632813
114,4.328125,6.250000,1.445313,0.730469
115,4.414063,5.902344,1.619141,1.105469
116,4.580078,5.960938,1.578125,0.806641
117,4.765625,6.281250,1.751953,0.769531
118,4.890625,6.226563,1.378906,0.810547
119,5.000000,6.394531,1.798828,0.707031
120,4.960938,6.375000,1.455078,0.712891
121,5.128906,6.662109,1.431641,0.728516
122,5.265625,6.783203,1.695313,0.777344
123,5.402344,7.128906,2.076172,0.822266
124,5.533203,7.701172,2.505859,0.986328
125,5.976563,7.351563,1.525391,0.810547
126,5.767578,8.607422,1.796875,1.072266
127,7.250000,8.533203,1.832031,0.892578
128,7.341797,9.382813,2.019531,0.929688
129,8.607422,8.791016,1.300781,0.750000
130,6.750000,8.660156,1.697266,0.773438
131,6.765625,8.273438,1.910156,0.800781
132,6.892578,8.552734,1.824219,0.820313
133,7.572266,9.271484,1.341797,0.824219
134,7.761719,8.355469,1.273438,0.765625
135,7.957031,9.921875,1.576172,0.804688
136,8.021484,9.943359,1.255859,0.777344
137,8.666016,9.126953,1.527344,0.816406
138,8.125000,9.117188,1.271484,2.494141
139,8.457031,10.101563,1.484375,0.830078
140,8.662109,9.808594,1.462891,0.806641
141,8.515625,9.931641,1.962891,0.904297
142,8.658203,9.990234,1.726563,0.873047
143,8.513672,9.980469,1.664063,0.855469
144,8.546875,10.500000,1.812500,1.152344
145,8.890625,10.482422,1.949219,0.855469
146,9.017578,10.914063,1.595703,0.871094
147,10.308594,11.236328,2.230469,1.162109
148,9.482422,11.369141,2.087891,1.072266
149,10.472656,11.341797,2.216797,1.087891
150,10.003906,12.474609,1.597656,0.859375
151,10.193359,11.714844,1.523438,0.867188
152,10.421875,11.761719,1.685547,0.941406
153,10.755859,12.644531,1.880859,0.916016
154,10.912109,12.306641,1.591797,0.875000
155,11.000000,12.308594,2.048828,0.992188
