M,Only host,Only host + svm,svm + gpu,only gpu
1,0.000000,0.000000,1.746094,1.093750
2,0.000000,0.000000,2.244141,0.710938
3,0.000000,0.000000,1.990234,0.386719
4,0.000000,0.000000,0.820313,0.363281
5,0.000000,0.000000,1.123047,0.402344
6,0.000000,0.000000,0.867188,0.343750
7,0.000000,0.000000,0.808594,0.345703
8,0.000000,0.000000,0.839844,0.349609
9,0.000000,0.000000,0.814453,0.414063
10,0.000000,0.000000,1.164063,0.546875
11,0.000000,0.000000,1.169922,0.507813
12,0.000000,0.000000,0.974609,0.392578
13,0.000000,0.000000,0.921875,0.367188
14,0.000000,0.000000,0.765625,0.349609
15,0.000000,0.000000,0.757813,0.349609
16,0.000000,0.000000,0.851563,0.349609
17,0.000000,0.000000,0.771484,0.355469
18,0.000000,0.000000,0.808594,0.353516
19,0.000000,0.000000,0.744141,0.351563
20,0.000000,0.000000,0.736328,0.353516
21,0.000000,0.000000,0.751953,0.357422
22,0.000000,0.000000,0.878906,0.453125
23,0.000000,0.000000,2.001953,0.521484
24,0.000000,0.000000,1.173828,0.404297
25,0.000000,0.000000,0.923828,0.406250
26,0.000000,0.000000,0.785156,0.369141
27,0.000000,0.000000,0.808594,0.373047
28,0.000000,0.000000,0.804688,0.369141
29,0.000000,0.000000,0.798828,0.367188
30,0.000000,0.000000,0.783203,0.373047
31,0.000000,0.000000,0.789063,0.375000
32,0.000000,0.000000,0.859375,0.384766
33,0.000000,0.000000,0.851563,0.384766
34,0.000000,0.000000,1.078125,0.498047
35,0.000000,0.000000,1.154297,0.447266
36,0.000000,0.000000,0.906250,0.457031
37,0.000000,0.000000,0.958984,0.410156
38,0.000000,0.000000,0.861328,0.427734
39,0.000000,0.000000,0.800781,0.404297
40,0.000000,0.000000,0.832031,0.412109
41,0.000000,0.000000,0.824219,0.427734
42,0.000000,0.000000,0.873047,0.414063
43,0.000000,0.000000,0.789063,0.416016
44,0.000000,0.000000,0.810547,0.425781
45,0.000000,0.000000,0.863281,0.468750
46,0.000000,0.000000,1.074219,0.464844
47,0.000000,0.000000,0.912109,0.429688
48,0.000000,0.000000,1.050781,0.437500
49,0.000000,0.000000,0.857422,0.439453
50,0.000000,0.000000,0.896484,0.433594
51,0.000000,0.000000,0.869141,0.441406
52,0.000000,0.000000,0.904297,0.441406
53,0.000000,0.000000,0.800781,0.457031
