M,Only host,Only host + svm,svm + gpu,only gpu
1,0.000000,0.000000,7.173828,0.384766
2,0.000000,0.000000,0.585938,0.296875
3,0.000000,0.000000,0.529297,0.402344
4,0.000000,0.000000,0.453125,0.238281
5,0.000000,0.000000,0.628906,0.281250
6,0.000000,0.000000,0.394531,0.308594
7,0.000000,0.000000,0.396484,0.162109
8,0.000000,0.000000,0.396484,0.287109
9,0.000000,0.000000,0.308594,0.333984
10,0.000000,0.000000,0.341797,0.322266
11,0.000000,0.000000,0.480469,0.250000
12,0.000000,0.000000,0.263672,0.236328
13,0.000000,0.000000,0.378906,0.234375
14,0.000000,0.000000,0.265625,0.238281
15,0.000000,0.000000,0.263672,0.232422
16,0.000000,0.000000,0.267578,0.230469
17,0.000000,0.000000,0.277344,0.253906
18,0.000000,0.000000,0.341797,0.257813
19,0.000000,0.000000,0.281250,0.275391
20,0.000000,0.000000,0.392578,0.275391
21,0.000000,0.000000,0.330078,0.281250
22,0.000000,0.000000,0.431641,0.300781
23,0.000000,0.000000,0.427734,0.509766
24,0.000000,0.000000,0.392578,0.265625
25,0.000000,0.000000,0.333984,0.373047
26,0.000000,0.000000,0.396484,0.283203
27,0.000000,0.000000,0.402344,0.289063
28,0.000000,0.000000,0.316406,0.279297
29,0.000000,0.000000,0.429688,0.195313
30,0.000000,0.000000,0.423828,0.265625
31,0.000000,0.000000,0.406250,0.193359
32,0.000000,0.000000,0.408203,0.248047
33,0.000000,0.000000,0.396484,0.273438
34,0.000000,0.000000,0.394531,0.386719
35,0.000000,0.000000,0.441406,0.462891
36,0.000000,0.000000,0.326172,0.328125
37,0.000000,0.000000,0.453125,0.365234
38,0.000000,0.000000,0.441406,0.333984
39,0.000000,0.000000,0.449219,0.341797
40,0.000000,0.000000,0.447266,0.408203
41,0.000000,0.000000,0.441406,0.398438
42,0.000000,0.000000,0.560547,0.472656
43,0.000000,0.000000,0.419922,0.396484
44,0.000000,0.000000,0.357422,0.283203
45,0.000000,0.000000,0.441406,0.484375
46,0.000000,0.000000,0.402344,0.425781
47,0.000000,0.000000,0.472656,0.396484
48,0.000000,0.000000,0.435547,0.373047
49,0.000000,0.000000,0.484375,0.294922
50,0.000000,0.000000,0.302734,0.382813
51,0.000000,0.000000,0.302734,0.339844
52,0.000000,0.000000,0.304688,0.531250
53,0.000000,0.000000,0.425781,0.302734
54,0.000000,0.000000,0.406250,0.312500
55,0.000000,0.000000,0.400391,0.304688
56,0.000000,0.000000,0.410156,0.380859
57,0.000000,0.000000,0.408203,0.216797
58,0.000000,0.000000,0.445313,0.439453
59,0.000000,0.000000,0.310547,0.312500
60,0.000000,0.000000,0.408203,0.285156
61,0.000000,0.000000,0.304688,0.376953
62,0.000000,0.000000,0.408203,0.568359
63,0.000000,0.000000,0.462891,0.351563
64,0.000000,0.000000,0.304688,0.355469
65,0.000000,0.000000,0.324219,0.453125
66,0.000000,0.000000,0.472656,0.660156
67,0.000000,0.000000,0.361328,0.326172
68,0.000000,0.000000,0.457031,0.460938
69,0.000000,0.000000,0.341797,0.447266
70,0.000000,0.000000,0.443359,0.449219
71,0.000000,0.000000,0.441406,0.527344
72,0.000000,0.000000,0.414063,0.410156
73,0.000000,0.000000,0.503906,0.349609
74,0.000000,0.000000,0.535156,0.517578
75,0.000000,0.000000,0.755859,0.503906
76,0.000000,0.000000,0.523438,0.421875
77,0.000000,0.000000,0.484375,0.542969
78,0.000000,0.000000,0.511719,0.564453
79,0.000000,0.000000,0.580078,0.392578
80,0.000000,0.000000,0.443359,0.501953
81,0.000000,0.000000,0.542969,0.531250
82,0.000000,0.000000,0.445313,0.619141
83,0.000000,0.000000,0.431641,0.414063
84,0.000000,0.000000,0.421875,0.404297
85,0.000000,0.000000,0.404297,0.589844
86,0.000000,0.000000,0.580078,0.542969
87,0.000000,0.000000,0.511719,0.523438
88,0.000000,0.000000,0.421875,0.511719
89,0.000000,0.000000,0.398438,0.505859
90,0.000000,0.000000,0.597656,0.576172
91,0.000000,0.000000,0.623047,0.421875
92,0.000000,0.000000,0.556641,0.507813
93,0.000000,0.000000,0.533203,0.640625
94,0.000000,0.000000,0.505859,0.634766
95,0.000000,0.000000,0.541016,0.585938
96,0.000000,0.000000,0.541016,0.519531
97,0.000000,0.000000,0.482422,0.507813
98,0.000000,0.000000,0.486328,0.482422
99,0.000000,0.000000,0.560547,0.712891
100,0.000000,0.000000,0.734375,0.500000
101,0.000000,0.000000,0.541016,0.718750
102,0.000000,0.000000,0.474609,0.548828
